ticker,cutoff_utc,cutoff_label,cutoff_local,trade_ts_utc,price
KXMARALAGO-26-VZ,2025-03-24 00:00:00+00:00,2025_03_23_close_1700_PT,2025-03-23 17:00:00-07:00,2025-03-08 10:35:32.381174+00:00,0.21
KXMOONMAN-31-R,2025-03-24 00:00:00+00:00,2025_03_23_close_1700_PT,2025-03-23 17:00:00-07:00,2024-12-01 07:12:28.152982+00:00,0.1
KXNOBELPEACE-25-VZEL,2025-03-24 00:00:00+00:00,2025_03_23_close_1700_PT,2025-03-23 17:00:00-07:00,2025-03-23 05:15:44.919146+00:00,0.19
KXPRESVISIT-26-RU,2025-03-24 00:00:00+00:00,2025_03_23_close_1700_PT,2025-03-23 17:00:00-07:00,2025-03-23 16:51:51.977620+00:00,0.32
KXPRESVISIT-26-UKR,2025-03-24 00:00:00+00:00,2025_03_23_close_1700_PT,2025-03-23 17:00:00-07:00,2025-03-23 11:55:24.895557+00:00,0.17
KXSECSTATEVISIT-26-RUS,2025-03-24 00:00:00+00:00,2025_03_23_close_1700_PT,2025-03-23 17:00:00-07:00,2025-03-23 20:13:04.120409+00:00,0.71
KXUKRAINERESIGN-26,2025-03-24 00:00:00+00:00,2025_03_23_close_1700_PT,2025-03-23 17:00:00-07:00,2025-03-23 20:07:38.540830+00:00,0.24
KXUKRIMPEACH-26,2025-03-24 00:00:00+00:00,2025_03_23_close_1700_PT,2025-03-23 17:00:00-07:00,2025-03-21 19:25:54.573811+00:00,0.13
KXWLEADER-25-VP,2025-03-24 00:00:00+00:00,2025_03_23_close_1700_PT,2025-03-23 17:00:00-07:00,2025-03-23 12:52:33.344636+00:00,0.82
KXELECTUKRAINE-26,2025-03-24 12:00:00+00:00,2025_03_24_open_0500_PT,2025-03-24 05:00:00-07:00,2025-03-23 20:54:05.104253+00:00,0.43
KXFRIDMAN-26JAN01-VP,2025-03-24 12:00:00+00:00,2025_03_24_open_0500_PT,2025-03-24 05:00:00-07:00,2025-03-24 11:58:47.713059+00:00,0.31
KXMARALAGO-26-VZ,2025-03-24 12:00:00+00:00,2025_03_24_open_0500_PT,2025-03-24 05:00:00-07:00,2025-03-08 10:35:32.381174+00:00,0.21
KXMOONMAN-31-R,2025-03-24 12:00:00+00:00,2025_03_24_open_0500_PT,2025-03-24 05:00:00-07:00,2024-12-01 07:12:28.152982+00:00,0.1
KXNOBELPEACE-25-VZEL,2025-03-24 12:00:00+00:00,2025_03_24_open_0500_PT,2025-03-24 05:00:00-07:00,2025-03-23 05:15:44.919146+00:00,0.19
KXPRESVISIT-26-RU,2025-03-24 12:00:00+00:00,2025_03_24_open_0500_PT,2025-03-24 05:00:00-07:00,2025-03-24 11:52:06.856560+00:00,0.32
KXPRESVISIT-26-UKR,2025-03-24 12:00:00+00:00,2025_03_24_open_0500_PT,2025-03-24 05:00:00-07:00,2025-03-23 11:55:24.895557+00:00,0.17
KXSECSTATEVISIT-26-RUS,2025-03-24 12:00:00+00:00,2025_03_24_open_0500_PT,2025-03-24 05:00:00-07:00,2025-03-23 20:13:04.120409+00:00,0.71
KXUKRAINERESIGN-26,2025-03-24 12:00:00+00:00,2025_03_24_open_0500_PT,2025-03-24 05:00:00-07:00,2025-03-24 10:36:36.625419+00:00,0.23
KXUKRIMPEACH-26,2025-03-24 12:00:00+00:00,2025_03_24_open_0500_PT,2025-03-24 05:00:00-07:00,2025-03-24 11:20:14.685875+00:00,0.13
KXWLEADER-25-VP,2025-03-24 12:00:00+00:00,2025_03_24_open_0500_PT,2025-03-24 05:00:00-07:00,2025-03-24 07:28:08.766052+00:00,0.81
KXELECTUKRAINE-26,2025-03-25 00:00:00+00:00,2025_03_24_close_1700_PT,2025-03-24 17:00:00-07:00,2025-03-24 19:38:21.234164+00:00,0.44
KXFRIDMAN-26JAN01-VP,2025-03-25 00:00:00+00:00,2025_03_24_close_1700_PT,2025-03-24 17:00:00-07:00,2025-03-24 13:42:39.480108+00:00,0.27
KXMARALAGO-26-VZ,2025-03-25 00:00:00+00:00,2025_03_24_close_1700_PT,2025-03-24 17:00:00-07:00,2025-03-08 10:35:32.381174+00:00,0.21
