ticker,cutoff_utc,cutoff_label,cutoff_local,trade_ts_utc,price,source_trade_ts_local
KXMOONMAN-31-R,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-03-28 12:27:09.813063+00:00,0.01,2025-03-28 05:27:09.813063-07:00
KXMUSKVISIT-25-RUS,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-06-27 13:42:01.711547+00:00,0.08,2025-06-27 06:42:01.711547-07:00
KXNOBELPEACE-25-VZEL,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-07-06 11:13:41.038706+00:00,0.15,2025-07-06 04:13:41.038706-07:00
KXPOPEVISITNEXT-26-UA,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-07-02 15:44:50.549183+00:00,0.08,2025-07-02 08:44:50.549183-07:00
KXPOPEVISITSECOND-26-UA,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,,,
KXPRESVISIT-26-RU,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-07-05 16:53:37.331107+00:00,0.13,2025-07-05 09:53:37.331107-07:00
KXPRESVISIT-26-UKR,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-07-05 23:55:34.845374+00:00,0.11,2025-07-05 16:55:34.845374-07:00
KXSECSTATEVISIT-26-RUS,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-07-05 12:52:06.931814+00:00,0.23,2025-07-05 05:52:06.931814-07:00
KXTIMEDECADE20S-30-VZEL,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-06-02 19:56:39.708094+00:00,0.11,2025-06-02 12:56:39.708094-07:00
KXTPSUKR-25,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-06-27 07:06:43.653269+00:00,0.1,2025-06-27 00:06:43.653269-07:00
KXUKRAINERESIGN-26,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-07-04 12:17:34.399779+00:00,0.09,2025-07-04 05:17:34.399779-07:00
KXUKRIMPEACH-26,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-07-04 22:17:51.500443+00:00,0.1,2025-07-04 15:17:51.500443-07:00
KXWHVISIT-26JAN-VPUT,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-07-04 07:47:06.757234+00:00,0.11,2025-07-04 00:47:06.757234-07:00
KXWHVISIT-26JAN-VZEL,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-07-05 11:28:16.116445+00:00,0.41,2025-07-05 04:28:16.116445-07:00
KXWLEADER-25-VP,2025-07-06 12:00:00+00:00,2025_07_06_open_0500_PT,2025-07-06 05:00:00-07:00,2025-07-04 08:58:09.066532+00:00,0.41,2025-07-04 01:58:09.066532-07:00
